Rep 0, Training with 20 data, Training at Epoch 36, train acc 0.35, train cost 1.3502, test acc 0.51, test cost 1.344, avg epoch time 88.8265, total time 3197.7544
Rep 0, Training with 20 data, Training at Epoch 37, train acc 0.35, train cost 1.361, test acc 0.41, test cost 1.3519, avg epoch time 88.4968, total time 3274.3834
Rep 0, Training with 20 data, Training at Epoch 38, train acc 0.5, train cost 1.3584, test acc 0.42, test cost 1.3526, avg epoch time 88.1684, total time 3350.3989
Rep 0, Training with 20 data, Training at Epoch 39, train acc 0.55, train cost 1.3621, test acc 0.49, test cost 1.3488, avg epoch time 87.8609, total time 3426.5757
Rep 0, Training with 20 data, Training at Epoch 40, train acc 0.5, train cost 1.3523, test acc 0.53, test cost 1.3477, avg epoch time 87.6007, total time 3504.0282
Rep 0, Training with 20 data, Training at Epoch 41, train acc 0.5, train cost 1.3507, test acc 0.39, test cost 1.3484, avg epoch time 87.3189, total time 3580.0739
Rep 0, Training with 20 data, Training at Epoch 42, train acc 0.65, train cost 1.3566, test acc 0.44, test cost 1.3495, avg epoch time 87.0586, total time 3656.4601
Rep 0, Training with 20 data, Training at Epoch 43, train acc 0.55, train cost 1.3484, test acc 0.41, test cost 1.3528, avg epoch time 86.8106, total time 3732.8551
Rep 0, Training with 20 data, Training at Epoch 44, train acc 0.55, train cost 1.3498, test acc 0.46, test cost 1.3493, avg epoch time 86.5918, total time 3810.0395
Rep 0, Training with 20 data, Training at Epoch 45, train acc 0.6, train cost 1.3509, test acc 0.45, test cost 1.3483, avg epoch time 86.3566, total time 3886.0482
Rep 0, Training with 20 data, Training at Epoch 46, train acc 0.55, train cost 1.3526, test acc 0.46, test cost 1.3467, avg epoch time 86.1437, total time 3962.6105
Rep 0, Training with 20 data, Training at Epoch 47, train acc 0.5, train cost 1.3367, test acc 0.43, test cost 1.3461, avg epoch time 85.9262, total time 4038.5322
Rep 0, Training with 20 data, Training at Epoch 48, train acc 0.5, train cost 1.3433, test acc 0.46, test cost 1.3492, avg epoch time 85.7451, total time 4115.7668
Rep 0, Training with 20 data, Training at Epoch 49, train acc 0.45, train cost 1.3306, test acc 0.48, test cost 1.3284, avg epoch time 85.5518, total time 4192.0392
Rep 0, Training with 20 data, Training at Epoch 50, train acc 0.6, train cost 1.3272, test acc 0.43, test cost 1.3341, avg epoch time 85.366, total time 4268.2986
Rep 0, Training with 20 data, Training at Epoch 51, train acc 0.6, train cost 1.3245, test acc 0.44, test cost 1.323, avg epoch time 85.185, total time 4344.4373
Rep 0, Training with 20 data, Training at Epoch 52, train acc 0.6, train cost 1.32, test acc 0.48, test cost 1.3255, avg epoch time 85.0194, total time 4421.0092
Rep 0, Training with 20 data, Training at Epoch 53, train acc 0.55, train cost 1.3272, test acc 0.44, test cost 1.3225, avg epoch time 84.8456, total time 4496.8172
Rep 0, Training with 20 data, Training at Epoch 54, train acc 0.6, train cost 1.3239, test acc 0.43, test cost 1.3243, avg epoch time 84.6908, total time 4573.3051
Rep 0, Training with 20 data, Training at Epoch 55, train acc 0.65, train cost 1.3251, test acc 0.58, test cost 1.3166, avg epoch time 84.5442, total time 4649.9319
Rep 0, Training with 20 data, Training at Epoch 56, train acc 0.75, train cost 1.3157, test acc 0.53, test cost 1.3158, avg epoch time 84.3969, total time 4726.2251
