,train_acc,train_cost,test_acc,test_cost,step,n_train
0,0.63075,1.9020768341474408,0.734875,1.8008128199843445,1,48000
1,0.7559375,1.7544807592310334,0.75575,1.7249029712232948,2,48000
2,0.7639791666666668,1.7016868626204193,0.7605,1.6863806577203513,3,48000
3,0.7691666666666667,1.6756058378984537,0.762875,1.674275761666163,4,48000
4,0.7711458333333333,1.6630192853140493,0.766125,1.6611602496052895,5,48000
5,0.773875,1.654144416721416,0.7655000000000001,1.6555477220367663,6,48000
6,0.7773125,1.6497163878091248,0.769375,1.648940574735711,7,48000
7,0.7785833333333333,1.64297036843437,0.7737499999999999,1.6421179536140598,8,48000
8,0.7799999999999999,1.640102608947618,0.7751250000000001,1.6414829576206973,9,48000
9,0.7820208333333335,1.6348407702648764,0.7755000000000001,1.6367659274368425,10,48000
10,0.7834166666666667,1.6322114298688135,0.776,1.6350859258869566,11,48000
11,0.7835833333333334,1.629985010053525,0.778375,1.6337456884126071,12,48000
12,0.785125,1.628722500445086,0.7769999999999999,1.63319884289826,13,48000
13,0.7857916666666666,1.6258926142373111,0.777875,1.6274093217719032,14,48000
14,0.7874166666666667,1.6234826658740629,0.780375,1.6281258364942883,15,48000
15,0.7875,1.6212099306852352,0.7801250000000001,1.6247684947384096,16,48000
16,0.7876458333333334,1.6209493323971291,0.780125,1.6234717540108194,17,48000
17,0.7883125,1.6193563829685338,0.7795000000000001,1.6210967383774177,18,48000
18,0.7899375000000001,1.6180919755446637,0.778,1.6235571105591031,19,48000
19,0.7898958333333335,1.6159683558978515,0.7808750000000001,1.6211403880974484,20,48000
20,0.789875,1.6139889077122513,0.776625,1.6210381935900204,21,48000
21,0.7914374999999999,1.6141310259599537,0.7831250000000001,1.6179524458643892,22,48000
22,0.7916041666666667,1.612124756554649,0.7817500000000001,1.6109841724055065,23,48000
23,0.7914166666666667,1.6111389199123998,0.7825,1.6144951323796157,24,48000
24,0.7913958333333334,1.609885369129693,0.7851250000000001,1.6169822071812994,25,48000
25,0.7922916666666667,1.6110821398504616,0.783375,1.6145785953772291,26,48000
26,0.794,1.6100881383809813,0.784625,1.611949937829647,27,48000
27,0.7925833333333334,1.6092439820712439,0.7847500000000001,1.6115212211251797,28,48000
