,train_acc,train_cost,test_acc,test_cost,step,n_train
0,0.334975,2.068485665264197,0.27875,2.0578823394440726,1,48000
1,0.264625,2.0536526756412483,0.2615,2.0463531346766586,2,48000
2,0.33382,2.0406148486590516,0.391,2.032631941991421,3,48000
3,0.38022,2.0286267314318316,0.3635,2.0221804357589734,4,48000
4,0.39829499999999995,2.019101481364133,0.370125,2.0139841625368513,5,48000
5,0.37574,2.0128539890809494,0.366625,2.0094296953441684,6,48000
6,0.35385999999999995,2.0079817211255273,0.33925,2.005242073710551,7,48000
7,0.346445,2.0036913368300695,0.365375,2.0001502228734136,8,48000
8,0.39919000000000004,1.9989968147316195,0.434625,1.9973842064306482,9,48000
9,0.47779999999999995,1.9965841574528942,0.43475,1.9960215800207093,10,48000
10,0.39113000000000003,1.995247942841571,0.381125,1.9939084820031108,11,48000
11,0.391565,1.99340970945399,0.39125,1.9929042736822322,12,48000
12,0.379305,1.9926154228501627,0.385375,1.9924509362729563,13,48000
13,0.39002000000000003,1.9919056311429029,0.375375,1.9914613551831226,14,48000
14,0.37282,1.9911013962111024,0.374375,1.99079630509813,15,48000
15,0.374145,1.990221394091181,0.372375,1.9898013372377064,16,48000
16,0.37443499999999996,1.9892049064845114,0.37125,1.989013535622765,17,48000
17,0.375375,1.988182097776837,0.375375,1.987489285117237,18,48000
18,0.379875,1.9864445040550787,0.386625,1.9855015654384967,19,48000
19,0.3827,1.9842704766101267,0.381,1.9830732594874834,20,48000
20,0.387545,1.9819196466860611,0.386,1.9816168313177722,21,48000
21,0.38759999999999994,1.9810835614784366,0.392875,1.981547449632774,22,48000
22,0.38842999999999994,1.9804400621918554,0.390625,1.9803747126968183,23,48000
23,0.38716,1.9793761373916294,0.390375,1.9797228187411133,24,48000
24,0.38451,1.9794137949234867,0.38675,1.979345519533355,25,48000
25,0.38616,1.9789810302352877,0.384375,1.979043944028048,26,48000
26,0.38527,1.9785984049044238,0.382125,1.9788125948250066,27,48000
27,0.38712,1.9784304783492057,0.386625,1.9787588496137605,28,48000
28,0.387705,1.9782179524661452,0.38425,1.978629678047688,29,48000
29,0.38637,1.9782225307556698,0.384875,1.9786654407350808,30,48000
30,0.38798499999999997,1.978176630960044,0.38375,1.9784349559417036,31,48000
31,0.38743500000000003,1.9778224552522947,0.385375,1.9782128193021,32,48000
32,0.38837,1.977917121234714,0.3865,1.9783452217733817,33,48000
33,0.38777,1.9779037749760413,0.3865,1.9778441004458154,34,48000
34,0.38937,1.977562304361196,0.391125,1.977937222857443,35,48000
35,0.3899,1.9774623992705425,0.3865,1.9778033831724982,36,48000
36,0.388415,1.977354207637233,0.385625,1.9777621384981954,37,48000
37,0.389595,1.9772146670680193,0.3835,1.9775400658236226,38,48000
38,0.38910999999999996,1.977248582489186,0.387375,1.9776548392184,39,48000
39,0.38930000000000003,1.9771425672973013,0.3905,1.977652477206744,40,48000
40,0.38869000000000004,1.9769522044037848,0.386625,1.9772275231284477,41,48000
41,0.38883999999999996,1.9766905995387218,0.389,1.9769624152987966,42,48000
42,0.38965,1.9765667068361341,0.392125,1.9774483232402473,43,48000
43,0.38802,1.9767637840568306,0.3845,1.9768801374547402,44,48000
44,0.389015,1.9765085730097662,0.387125,1.9766769930326362,45,48000
45,0.38686499999999996,1.9763379615453651,0.385375,1.9767750226381227,46,48000
46,0.386625,1.9763245471163977,0.386,1.9765927050519594,47,48000
47,0.38821,1.9761029225424422,0.387,1.9763432420050653,48,48000
48,0.38746,1.9759859448219697,0.385375,1.9763271964935605,49,48000
49,0.38804000000000005,1.975996565419577,0.38475,1.9761916862406883,50,48000
50,0.38675000000000004,1.975902835826736,0.38725,1.976445656602698,51,48000
51,0.38744,1.975978972513475,0.38575,1.9761083257823913,52,48000
52,0.38625,1.9757868749257668,0.38575,1.976011936037231,53,48000
53,0.387025,1.9757285612924462,0.385,1.976025985123021,54,48000
54,0.38496499999999995,1.9756650184428648,0.384125,1.9759284629196405,55,48000
55,0.38569,1.9755842424663634,0.38475,1.9757713422799268,56,48000
56,0.38600500000000004,1.9755655441252913,0.3855,1.9761064220452427,57,48000
57,0.38458000000000003,1.9754749383004644,0.383625,1.9754844781497178,58,48000
58,0.385255,1.9751392909435121,0.382,1.9753244858870918,59,48000
59,0.38455500000000004,1.9750097281975882,0.38425,1.9755958388114345,60,48000
60,0.38353000000000004,1.9748794423092224,0.38,1.974971557435639,61,48000
61,0.38261999999999996,1.97454569173991,0.37875,1.9746206022688,62,48000
62,0.38248499999999996,1.974220098635427,0.381125,1.9744423572521532,63,48000
63,0.379625,1.9737014612574204,0.37675,1.9739001184053409,64,48000
64,0.38393499999999997,1.9729797944414558,0.3795,1.9730075726791392,65,48000
65,0.38788,1.9723243528128982,0.411,1.9726209282344254,66,48000
66,0.39929499999999996,1.9719277580470567,0.402,1.9722330849914338,67,48000
67,0.39940499999999995,1.9715140395013684,0.406125,1.9717775439036596,68,48000
68,0.39991000000000004,1.9712596334864574,0.394375,1.971187988061108,69,48000
69,0.39208999999999994,1.970750294352656,0.396625,1.9709085285899042,70,48000
70,0.39844,1.9702883737702521,0.395375,1.9705689101707924,71,48000
71,0.396705,1.9700589068064338,0.38825,1.9705319669683223,72,48000
