

libgomp: Invalid value for environment variable OMP_NUM_THREADS

libgomp: Invalid value for environment variable OMP_NUM_THREADS
256
Training with 200 data, testing with 100 data, for 80 epochs...
Rep 0, Training with 200 data, Training at Epoch 40, train acc 0.535, train cost 1.3212, test acc 0.43, test cost 1.3397, avg epoch time 1103.5288, total time 44141.1509
Rep 0, Training with 200 data, Training at Epoch 41, train acc 0.6, train cost 1.3195, test acc 0.47, test cost 1.3421, avg epoch time 1097.4291, total time 44994.5921
Rep 0, Training with 200 data, Training at Epoch 42, train acc 0.6, train cost 1.3186, test acc 0.48, test cost 1.3396, avg epoch time 1091.643, total time 45849.0064
Rep 0, Training with 200 data, Training at Epoch 43, train acc 0.605, train cost 1.3186, test acc 0.48, test cost 1.3417, avg epoch time 1085.8333, total time 46690.8337
Rep 0, Training with 200 data, Training at Epoch 44, train acc 0.625, train cost 1.3185, test acc 0.47, test cost 1.3355, avg epoch time 1081.643, total time 47592.2932
Rep 0, Training with 200 data, Training at Epoch 45, train acc 0.61, train cost 1.3231, test acc 0.5, test cost 1.3379, avg epoch time 1076.2955, total time 48433.2961
Rep 0, Training with 200 data, Training at Epoch 46, train acc 0.645, train cost 1.3212, test acc 0.48, test cost 1.3378, avg epoch time 1071.3492, total time 49282.0623
Rep 0, Training with 200 data, Training at Epoch 47, train acc 0.615, train cost 1.3156, test acc 0.48, test cost 1.34, avg epoch time 1068.6222, total time 50225.2425
Rep 0, Training with 200 data, Training at Epoch 48, train acc 0.64, train cost 1.3151, test acc 0.5, test cost 1.3371, avg epoch time 1064.1819, total time 51080.7325
Rep 0, Training with 200 data, Training at Epoch 49, train acc 0.645, train cost 1.3154, test acc 0.54, test cost 1.3335, avg epoch time 1060.4236, total time 51960.7543
Rep 0, Training with 200 data, Training at Epoch 50, train acc 0.64, train cost 1.3148, test acc 0.53, test cost 1.3397, avg epoch time 1057.9329, total time 52896.6434
Rep 0, Training with 200 data, Training at Epoch 51, train acc 0.555, train cost 1.3157, test acc 0.45, test cost 1.3433, avg epoch time 1053.6417, total time 53735.7242
Rep 0, Training with 200 data, Training at Epoch 52, train acc 0.565, train cost 1.3182, test acc 0.47, test cost 1.3454, avg epoch time 1051.5068, total time 54678.3543
Rep 0, Training with 200 data, Training at Epoch 53, train acc 0.58, train cost 1.317, test acc 0.46, test cost 1.3452, avg epoch time 1049.0646, total time 55600.4241
Rep 0, Training with 200 data, Training at Epoch 54, train acc 0.58, train cost 1.3177, test acc 0.47, test cost 1.3388, avg epoch time 1045.6311, total time 56464.0811
Rep 0, Training with 200 data, Training at Epoch 55, train acc 0.585, train cost 1.3156, test acc 0.47, test cost 1.3404, avg epoch time 1042.3735, total time 57330.5445
Rep 0, Training with 200 data, Training at Epoch 56, train acc 0.585, train cost 1.3161, test acc 0.44, test cost 1.3352, avg epoch time 1038.8921, total time 58177.9556
Rep 0, Training with 200 data, Training at Epoch 57, train acc 0.585, train cost 1.311, test acc 0.48, test cost 1.3378, avg epoch time 1037.4919, total time 59137.0389
Rep 0, Training with 200 data, Training at Epoch 58, train acc 0.6, train cost 1.3102, test acc 0.5, test cost 1.3343, avg epoch time 1034.1927, total time 59983.1749
Rep 0, Training with 200 data, Training at Epoch 59, train acc 0.66, train cost 1.3182, test acc 0.57, test cost 1.3241, avg epoch time 1032.1803, total time 60898.6375
Rep 0, Training with 200 data, Training at Epoch 60, train acc 0.67, train cost 1.3166, test acc 0.61, test cost 1.3235, avg epoch time 1029.1954, total time 61751.7246
Rep 0, Training with 200 data, Training at Epoch 61, train acc 0.69, train cost 1.3137, test acc 0.63, test cost 1.3265, avg epoch time 1026.1034, total time 62592.3048
Rep 0, Training with 200 data, Training at Epoch 62, train acc 0.71, train cost 1.3131, test acc 0.68, test cost 1.3215, avg epoch time 1023.8957, total time 63481.5327
Rep 0, Training with 200 data, Training at Epoch 63, train acc 0.64, train cost 1.3116, test acc 0.67, test cost 1.3246, avg epoch time 1021.8096, total time 64374.004
Rep 0, Training with 200 data, Training at Epoch 64, train acc 0.695, train cost 1.3116, test acc 0.67, test cost 1.3193, avg epoch time 1019.3872, total time 65240.7806
Rep 0, Training with 200 data, Training at Epoch 65, train acc 0.715, train cost 1.311, test acc 0.6, test cost 1.3209, avg epoch time 1016.7718, total time 66090.1678
Rep 0, Training with 200 data, Training at Epoch 66, train acc 0.7, train cost 1.3135, test acc 0.66, test cost 1.3252, avg epoch time 1014.8816, total time 66982.1864
