,n_train,step,train_acc,train_acc,train_cost,train_cost,test_acc,test_acc,test_cost,test_cost
,,,mean,std,mean,std,mean,std,mean,std
0,80,1,0.5543750000000001,0.04180842114870363,0.6922818104332891,0.0008385097310457796,0.5025000000000001,0.08025452930323751,0.694346528741867,0.009475269725935319
1,80,2,0.5625,0.07094289771951878,0.687808100828762,0.0011002908008855745,0.5175,0.13005565610234154,0.694720497259598,0.01056071914457016
2,80,3,0.6174999999999999,0.04907030402231176,0.6848904353137754,0.0014613669139857779,0.5075000000000001,0.11035230663174814,0.6921948983407918,0.006440363698242569
3,80,4,0.641875,0.06167548241869655,0.6827675047585442,0.0013665152582853556,0.53,0.11964860832322374,0.6932212900781434,0.0091249188026557
4,80,5,0.6256250000000001,0.06682102470110185,0.6807697427908406,0.0017653818154524602,0.5025000000000001,0.10320521202668827,0.6944842964437882,0.010792203299267902
5,80,6,0.620625,0.05579494294194353,0.6795388326802423,0.0022656295678597418,0.5225,0.11638751063399777,0.692894191404212,0.012451975146211988
6,80,7,0.6275000000000001,0.06131776594962203,0.6784917303566756,0.0024529006196334635,0.49000000000000005,0.09403246919632546,0.694263670721623,0.014387751675639793
7,80,8,0.641875,0.06728706667781902,0.6772253878105405,0.0024875605621312016,0.5075000000000001,0.1184049696681067,0.693883858565443,0.014089447862221226
8,80,9,0.671875,0.054391822866464434,0.676016688965548,0.002510256250946158,0.545,0.12865703081816932,0.6923926406939056,0.012587134163467902
9,80,10,0.675,0.055901699437494734,0.6749866827510338,0.0027154295207966403,0.52,0.12182817926554551,0.6918665829431654,0.012132516594087654
10,80,11,0.665625,0.04289579632207871,0.674139210984944,0.003020038344636759,0.49749999999999994,0.11751259730903657,0.6921094642130917,0.01202353456179401
11,80,12,0.675,0.0598792644893829,0.6732985912193934,0.0030883040096232905,0.51,0.10833670709996293,0.6921921629298216,0.012221749135426101
12,80,13,0.678125,0.05111825171007647,0.6726755599879212,0.003232252103719195,0.5325,0.12383669212228444,0.6917430554039676,0.01324499385310459
13,80,14,0.6799999999999999,0.05431995853033066,0.6719998516739112,0.0033252538634530315,0.5349999999999999,0.13582108975064452,0.6915407089296044,0.014463662363052318
14,80,15,0.688125,0.04974854533710401,0.6714324047365927,0.003299572668873607,0.54,0.13337718577107002,0.6916883499534897,0.01459133101347
15,80,16,0.68125,0.05024610485034216,0.6709138701962047,0.0034295388364643164,0.525,0.11975852897876584,0.6917198559377418,0.014691429102064637
16,80,17,0.6837500000000001,0.04696373180724843,0.6704576326082622,0.003482874042069676,0.53,0.11285761872936693,0.6911923103012554,0.015441034878775453
17,80,18,0.69625,0.05066985504741767,0.6700585695214556,0.0034130596996810197,0.5549999999999999,0.11798751048979272,0.6906987338229121,0.016399245939472742
18,80,19,0.689375,0.05724988508377343,0.6697290570124527,0.003189880113484946,0.5675,0.14074519716962203,0.6906474093375232,0.01677310756796145
19,80,20,0.68625,0.05776825298233952,0.6693795777496769,0.0030385027014237097,0.5650000000000001,0.13484884325167862,0.6905433288909745,0.01648487926152344
20,80,21,0.68625,0.05160260601334413,0.6690401054594373,0.003040676798592587,0.5475,0.13423761336564827,0.6899970486892217,0.01648937157216404
21,80,22,0.68625,0.04932104813843359,0.6686884398553135,0.0030669352498497093,0.5525,0.13423761336564824,0.6897962260227255,0.017098140240770804
22,80,23,0.68625,0.05207850854845576,0.6683471880181704,0.0031195546185502857,0.5475,0.1312640969873131,0.690173556746035,0.01742863782654359
23,80,24,0.69625,0.056791979604240095,0.6680031879743661,0.003140945178892231,0.5475,0.11973105827557638,0.6899192800277106,0.0172189283479666
24,80,25,0.6956249999999999,0.05229518318364058,0.667687554133008,0.00318273880429259,0.5475,0.1292437517577583,0.6892349878525464,0.016691980511935742
25,80,26,0.70125,0.05603394178155724,0.667426276566992,0.003272486493175767,0.54,0.12732056517228263,0.6891164474681888,0.01611448803023385
26,80,27,0.70125,0.059865529137788205,0.6671665151621526,0.0033030788055988386,0.5349999999999999,0.11709195666564579,0.6890917202728306,0.01612825527219112
27,80,28,0.6950000000000001,0.059382790347656124,0.6669322359769596,0.0032893349030206063,0.545,0.11798751048979274,0.6885766670985173,0.016368033125471027
28,80,29,0.6962499999999999,0.06271017293449033,0.6666377511358154,0.003264501332627152,0.545,0.12343760409722458,0.6882648458541805,0.016316602901779966
29,80,30,0.6950000000000001,0.05979680505459166,0.6664068236124162,0.003265204772387293,0.5599999999999999,0.12096106376585987,0.6884380501582851,0.01611650695388817
30,80,31,0.696875,0.05719239805023778,0.6662262279493747,0.0032958582435000526,0.56,0.12628289045255744,0.6885544323397157,0.015868618573296744
31,80,32,0.698125,0.05307563495913912,0.6660377081089622,0.0032958983388316682,0.5625,0.11795962734855737,0.6885030239529776,0.015423896002950091
32,80,33,0.70125,0.054092391721066134,0.6658746286161191,0.0033198270335146585,0.5575,0.10915344100948227,0.6885648943534968,0.015031190829075466
33,80,34,0.70125,0.053940147141847986,0.6657068516141702,0.0033189285404645464,0.5475,0.1129450262179279,0.6887957939191025,0.015099286698514429
34,80,35,0.70375,0.055916408475885734,0.6655543041863901,0.003295770221342902,0.5625,0.11456439237389598,0.6888880341365632,0.015195991508872745
35,80,36,0.71,0.06104894498851332,0.6653939266232436,0.0033011162706266086,0.5625,0.12016983595596781,0.6886789811947988,0.014936444570041197
36,80,37,0.7112499999999999,0.057482834966531324,0.6652280543541987,0.003326548576312295,0.5725,0.12719131880339699,0.6883117850342637,0.014579635522769733
