,n_train,step,train_acc,train_acc,train_cost,train_cost,test_acc,test_acc,test_cost,test_cost
,,,mean,std,mean,std,mean,std,mean,std
0,80,1,0.59875,0.02023708164939329,0.67904892038244,0.003517162043830405,0.5775,0.10062305898749054,0.6822587176365121,0.015383291397471565
1,80,2,0.6168750000000001,0.02442597571180493,0.6751330419012562,0.0035696747930193972,0.5725,0.09524898120742623,0.6840374995136373,0.01684865238306711
2,80,3,0.621875,0.023949989012193945,0.6720038251639803,0.003699138832567417,0.5425,0.09904145862372883,0.6854322008126961,0.018075651244893538
3,80,4,0.63,0.02308451292191598,0.6694176689469431,0.0038384027200629436,0.5275000000000001,0.08656454847471672,0.6861898756482037,0.01893102042249653
4,80,5,0.64,0.037521923416079135,0.6671280432048589,0.00394673269164306,0.5349999999999999,0.08599265574515803,0.6862825416674699,0.019513040441946062
5,80,6,0.64125,0.042165869210960064,0.6649844781735768,0.00398736047319803,0.53,0.09651833749958713,0.6858032608523542,0.01996027594582031
6,80,7,0.645625,0.04354274215913418,0.6629472624170706,0.003954921388766069,0.5275000000000001,0.09930680795022645,0.6848836317419098,0.020356689872861326
7,80,8,0.651875,0.036785965215583305,0.6610414110519932,0.0038722555923215497,0.5325,0.1216930997481607,0.6836807824289715,0.020729047367742063
8,80,9,0.651875,0.04219998596906725,0.6593010874563137,0.003777074130200284,0.5349999999999999,0.11931823877875149,0.6823402083484594,0.02105656114190266
9,80,10,0.659375,0.0411342074959004,0.657739390799674,0.0037024335102607106,0.5375,0.10497493435151681,0.6809746700341066,0.021288313973017926
10,80,11,0.67,0.041635953592765805,0.6563410095789108,0.0036629949621217453,0.5525,0.10572431876795127,0.6796754987799785,0.021391732620480653
11,80,12,0.671875,0.04308708287325001,0.655072129258007,0.003657068287625755,0.5625,0.11906986007780207,0.6785138398445314,0.021388093631995356
12,80,13,0.6793750000000001,0.04484531161319108,0.6538953570925325,0.0036771126892260883,0.5675,0.12060701733970103,0.6775369517117514,0.021347175177073564
13,80,14,0.684375,0.046748733447521014,0.6527791398611025,0.0037190005243926683,0.58,0.12290347089441672,0.6767598222027418,0.02134709731230142
14,80,15,0.6925,0.04450014784126831,0.6517014176367812,0.0037831698841811843,0.5775,0.11294502621792789,0.6761654145322146,0.02143637191619864
15,80,16,0.69625,0.0486833214712563,0.6506469577703122,0.003869472328601041,0.575,0.11062026082623001,0.675717007998956,0.021615349175672104
16,80,17,0.698125,0.04628910153645923,0.6496030767479384,0.003974956158217134,0.5775,0.11410406146191845,0.675367817754355,0.021840152288808194
17,80,18,0.701875,0.051502906152034414,0.6485581773343799,0.004096894826999064,0.5775,0.11638751063399781,0.6750699809114105,0.02204757587840226
18,80,19,0.703125,0.05424041875129459,0.6475021535803788,0.004234415184913486,0.5725,0.11059052019904209,0.6747833086096896,0.02218513604851783
19,80,20,0.70625,0.04807135595297779,0.6464277865873626,0.004387052211711685,0.575,0.11062026082623001,0.6744795589653664,0.02223175697927239
20,80,21,0.7025,0.04435206041615086,0.6453320229352866,0.0045538370870895125,0.5775,0.10192231303663023,0.6741469610673712,0.02220583365385043
21,80,22,0.7075,0.0389838023043579,0.6442166837780844,0.004733614589811874,0.5900000000000001,0.1046296727561194,0.6737910259411897,0.022155257646679333
22,80,23,0.703125,0.033900735514455355,0.643087453401041,0.004924706836995515,0.595,0.1223670062170613,0.6734273164201338,0.02213623712935616
23,80,24,0.705,0.03151858265581718,0.6419504456441832,0.005123804443546562,0.595,0.11573563341557892,0.6730704292966548,0.02219193114256684
24,80,25,0.7068749999999999,0.03428666880720169,0.6408082870907839,0.005326103658086237,0.5925,0.11616118565438104,0.6727269187417539,0.02233861110609756
25,80,26,0.705,0.030992358990394292,0.639658503803239,0.005527365843850057,0.5850000000000001,0.10772772696894119,0.6723955516851052,0.022563126722769923
26,80,27,0.705,0.029357147430619995,0.6384947732870183,0.005726306479359401,0.5925,0.11153828703043726,0.6720718331260815,0.022830257623361622
27,80,28,0.705,0.024129584374896786,0.6373094476678224,0.0059254321548858875,0.595,0.11109502807577797,0.6717509869846825,0.023095785012794218
28,80,29,0.708125,0.02573747779324723,0.6360957622364591,0.006129929454924066,0.5974999999999999,0.10939426522061335,0.6714283265708744,0.023320120973441015
29,80,30,0.7112499999999999,0.026562983741725207,0.634849327672331,0.006345527458658692,0.595,0.10990426455975698,0.6710998923008968,0.02347756968063022
30,80,31,0.7106250000000001,0.02667882809309757,0.6335686959980725,0.0065766517547717635,0.6,0.11002392084403617,0.6707639463557139,0.023558830385114984
31,80,32,0.7150000000000001,0.028562028528873972,0.6322545770706711,0.006825499328470592,0.6,0.10513149660756937,0.6704211833722409,0.023567520172304894
32,80,33,0.7162499999999999,0.029552584711965462,0.6309081589933903,0.007092014058903342,0.5974999999999999,0.09662052740380521,0.6700726184829852,0.0235130278006713
33,80,34,0.7175,0.027023381688729045,0.6295300685395231,0.007374637121675292,0.5925,0.0935765940145741,0.6697171964669825,0.023404392815563193
34,80,35,0.719375,0.021641137118679182,0.6281210131965415,0.0076713401317586895,0.585,0.08127277008872488,0.6693501489340286,0.023250154148897834
35,80,36,0.71875,0.023473108914356933,0.626683157195113,0.00798016722381874,0.595,0.08255779474818967,0.6689609917348915,0.023061207831408536
36,80,37,0.719375,0.02734856630515334,0.6252205019209788,0.00829903278864993,0.5974999999999999,0.08656454847471673,0.6685332848458552,0.0228516904869794
37,80,38,0.719375,0.0330656742830004,0.6237381623164466,0.008625002285483154,0.6025,0.08955298343497699,0.6680484943800047,0.02263980727969382
38,80,39,0.7212500000000001,0.030103986446980747,0.6222417737197811,0.008953477646804375,0.6025,0.09244486265649893,0.6674911625442222,0.022449432477099
39,80,40,0.72375,0.02806829078102943,0.6207375882927499,0.009277962329790546,0.5974999999999999,0.08955298343497699,0.6668516542832413,0.02230819362569321
40,80,41,0.72375,0.026562983741725204,0.6192325209495537,0.00959089468511689,0.6025,0.0924448626564989,0.6661266097497157,0.02224083291668767
41,80,42,0.724375,0.025801303006672053,0.6177338070925233,0.009885049046744993,0.605,0.08870412083230166,0.6653173727856486,0.022261588023760565
42,80,43,0.721875,0.027167547881521013,0.6162488192114767,0.010154358716292557,0.6174999999999999,0.09497229512918631,0.6644262567591691,0.02236951530922026
43,80,44,0.7268749999999999,0.027288360252370594,0.6147842673782241,0.010394319061163821,0.6275000000000001,0.09524898120742623,0.6634521654444087,0.022550162844030663
44,80,45,0.724375,0.02909687765849946,0.6133439226002999,0.010602445661255944,0.6275000000000001,0.09524898120742623,0.6623897377902385,0.022784446956717812
45,80,46,0.725,0.029524744305680112,0.611927020278672,0.010777721754866161,0.6275000000000001,0.09244486265649893,0.661236062066435,0.023059005911991403
46,80,47,0.7262500000000001,0.027773757018944502,0.6105301686770684,0.010918866025917774,0.635,0.08599265574515805,0.6600005975125118,0.02336906103594483
47,80,48,0.725625,0.029656753468911428,0.6091519082687611,0.011023581607426329,0.6375,0.07926471306225809,0.658708826258227,0.0237087676418307
48,80,49,0.7275,0.027980256196863264,0.6077958099556391,0.011089915133845496,0.6425,0.07992595257322146,0.6573961493679963,0.024059948734677945
49,80,50,0.73,0.026407734114320177,0.6064691749606884,0.011117983932825655,0.6475,0.08025452930323752,0.6560954032512953,0.024393888683312256
